fecha,hora,usuario
2020-01-01,12:40:34,user0054
2020-01-01,12:45:33,user0095
2020-01-01,12:46:40,user0095
2020-01-01,12:48:40,user0095
2020-01-01,12:50:40,user0095
2020-01-01,12:52:25,user0095
2020-01-01,12:54:11,user0095
2020-01-01,12:56:10,user0095
2020-01-01,12:57:56,user0095
2020-01-01,12:59:40,user0095
2020-01-01,13:01:25,user0095
2020-01-01,13:03:10,user0095
2020-01-01,13:04:56,user0095
2020-01-01,13:06:40,user0095
2020-01-01,13:08:25,user0095
2020-01-01,13:10:15,user0095
2020-01-01,13:40:34,user0054
2020-01-01,16:49:20,user0054
2020-01-01,17:06:14,user0095
2020-01-01,17:08:42,user0095
2020-01-01,17:25:14,user0095
2020-01-02,17:53:33,user0054
2020-01-03,00:19:54,user0121
2020-01-03,10:25:05,user0054
2020-01-03,11:11:42,user0054
2020-01-03,11:45:36,user0054
2020-01-03,12:10:12,user0054
2020-01-03,13:05:42,user0054
2020-01-03,13:20:02,user0054
2020-01-03,16:29:24,user0054
2020-01-03,18:29:47,user0095
2020-01-03,19:46:05,user0121
2020-01-03,20:03:34,user0095
2020-01-03,20:46:05,user0121
2020-01-03,21:46:05,user0121
2020-01-03,22:04:27,user0049
2020-01-03,22:44:50,user0049
2020-01-03,22:46:06,user0121
2020-01-03,23:46:06,user0121
2020-01-04,00:46:06,user0121
2020-01-04,09:09:52,user0121
2020-01-04,10:09:52,user0121
2020-01-04,11:09:53,user0121
2020-01-04,11:10:59,user0054
2020-01-04,11:40:56,user0121
2020-01-04,12:40:56,user0121
2020-01-04,13:40:56,user0121
2020-01-04,14:40:56,user0121
2020-01-04,15:40:56,user0121
2020-01-04,16:01:48,user0121
2020-01-04,17:01:49,user0121
2020-01-04,18:01:49,user0121
2020-01-04,19:01:49,user0121
2020-01-04,20:01:49,user0121
2020-01-04,21:01:50,user0121
2020-01-04,22:01:50,user0121
2020-01-04,23:01:50,user0121
2020-01-04,23:13:36,user0121
